timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:49:30.770916+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,50719.0,53.0,,normal
2025-04-28T20:49:30.769443+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,65057.0,53.0,,normal
2025-04-28T20:49:30.769824+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,54178.0,53.0,,normal
2025-04-28T20:49:30.776587+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,50719.0,53.0,,normal
2025-04-28T20:49:30.776588+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,65057.0,53.0,,normal
2025-04-28T20:49:30.776589+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,54178.0,53.0,,normal
2025-04-28T20:49:30.796627+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60976.0,443.0,,normal
2025-04-28T20:49:31.175966+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60977.0,443.0,,normal
2025-04-28T20:49:31.564442+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60978.0,443.0,,normal
2025-04-28T20:49:31.975699+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60979.0,443.0,,normal
2025-04-28T20:49:32.447133+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60980.0,443.0,,normal
2025-04-28T20:49:32.973403+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60981.0,443.0,,normal
2025-04-28T20:49:33.374245+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0002,TCP,60982.0,443.0,,normal
2025-04-28T20:49:34.654198+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2403:0300:1364:0000:0000:0000:0002:0001,TCP,60983.0,443.0,,normal
2025-04-28T20:49:35.482012+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,59793.0,53.0,,normal
2025-04-28T20:49:35.482474+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61111.0,53.0,,normal
2025-04-28T20:49:35.482273+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,54881.0,53.0,,normal
2025-04-28T20:49:35.488592+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61111.0,53.0,,normal
2025-04-28T20:49:35.488593+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,59793.0,53.0,,normal
2025-04-28T20:49:35.488593+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,54881.0,53.0,,normal
2025-04-28T20:49:35.489666+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61637.0,53.0,,normal
2025-04-28T20:49:35.489832+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,56014.0,53.0,,normal
2025-04-28T20:49:35.494968+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61637.0,53.0,,normal
2025-04-28T20:49:35.494970+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,56014.0,53.0,,normal
2025-04-28T20:49:36.045115+0530,192.168.1.12,17.171.47.23,TCP,61576.0,443.0,,normal
