timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags
1745937241.261794,192.168.1.5,224.0.0.251,2,,,46,
1745937241.524448,192.168.1.7,20.44.10.123,TCP,56997,443,78,S
1745937241.779286,20.44.10.123,192.168.1.7,TCP,443,56997,74,SA
1745937241.780382,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937241.781106,192.168.1.7,20.44.10.123,TCP,56997,443,583,PA
1745937242.142674,20.44.10.123,192.168.1.7,TCP,443,56997,165,PA
1745937242.143243,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937242.143889,192.168.1.7,20.44.10.123,TCP,56997,443,503,PA
1745937242.427495,20.44.10.123,192.168.1.7,TCP,443,56997,1506,A
1745937242.428101,20.44.10.123,192.168.1.7,TCP,443,56997,1506,A
1745937242.428618,20.44.10.123,192.168.1.7,TCP,443,56997,1506,A
1745937242.4290078,20.44.10.123,192.168.1.7,TCP,443,56997,277,PA
1745937242.429364,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937242.429686,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937242.430088,192.168.1.7,20.44.10.123,TCP,56997,443,1494,A
1745937242.430466,192.168.1.7,20.44.10.123,TCP,56997,443,705,PA
1745937242.683508,20.44.10.123,192.168.1.7,TCP,443,56997,66,A
1745937242.696534,20.44.10.123,192.168.1.7,TCP,443,56997,169,PA
1745937242.696885,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937242.7631402,20.44.10.123,192.168.1.7,TCP,443,56997,531,FPA
1745937242.7635388,192.168.1.7,20.44.10.123,TCP,56997,443,66,A
1745937242.763952,192.168.1.7,20.44.10.123,TCP,56997,443,90,PA
1745937242.764278,192.168.1.7,20.44.10.123,TCP,56997,443,66,FA
1745937243.017335,20.44.10.123,192.168.1.7,TCP,443,56997,66,A
1745937245.7665138,0.0.0.0,255.255.255.255,UDP,68,67,342,
1745937245.81114,192.168.1.1,192.168.1.7,UDP,67,68,590,
