timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags,label
1745843492.509104,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,78,S,0
1745843492.644024,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,74,SA,0
1745843492.6445818,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843492.6454551,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,1494,A,0
1745843492.6459289,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,475,PA,0
1745843492.78713,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,66,A,0
1745843492.793779,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,165,PA,0
1745843492.7944808,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843492.795868,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,749,PA,0
1745843492.94489,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,1506,A,0
1745843492.94567,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,1506,A,0
1745843492.9460878,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,1506,A,0
1745843492.946511,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,1506,A,0
1745843492.947082,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,713,PA,0
1745843492.947565,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843492.947922,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843492.968801,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,140,PA,0
1745843492.969152,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,158,PA,0
1745843492.969436,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,560,PA,0
1745843492.969693,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,1494,A,0
1745843492.969946,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,852,PA,0
1745843493.10818,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,66,A,0
1745843493.111326,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,66,A,0
1745843493.126049,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,169,PA,0
1745843493.126739,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843493.157674,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,128,PA,0
1745843493.158424,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
1745843493.1592,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,97,PA,0
1745843493.265936,40.79.173.40,192.168.1.12,TCP,443.0,52526.0,97,PA,0
1745843493.266378,192.168.1.12,40.79.173.40,TCP,52526.0,443.0,66,A,0
